98019044,90560565,108.88,1
99867689,98813289,62.87,4
90405154,96225605,299.01,4
96924468,93896228,28.94,4
90810995,93663372,314.49,1
98623555,95318000,51.29,1
97952861,93692166,214.18,1
98858526,99446691,217.75,1
97374794,99634073,292.95,4
90590594,96803787,237.13,4
92148228,94195874,60.47,2
94355672,91817008,293.77,3
94549688,97418359,315.79,3
96712987,90289881,236.85,3
97477775,97877564,116.84,3
91176921,95530828,331.5,3
91819767,98743463,4.3,3
93756986,92043975,46.68,3
97041518,91304371,301.44,3
99956433,90865014,8.8,3
90300713,90240371,291.21,3
94270662,90971029,117.27,3
98824842,92621664,113.71,3
95806223,97326256,208.93,3
94669011,99024173,351.13,3
96173404,99520519,319.2,3
90311906,95331890,44.19,3
91579396,90663352,287.05,3
92785957,98800230,307.3,3
94419853,98181106,46.3,3
92630176,95079291,32.02,3
91276538,90479692,245.99,3
94750142,92103002,46.07,3
93492951,91405414,44.68,3
95142871,99332763,190.5,3
95868779,90484739,242.29,3
97992296,98251002,211.13,3
95232614,94452649,38.35,3
91099703,93848085,290.42,3
90682954,97525293,281.96,3
93014439,96958186,160.32,3
93297412,99792622,212.51,3
90791798,93741079,142.22,3
96499138,96228435,357.14,3
99040301,90356122,280.78,3
91294785,91275182,40.54,3
98343485,92684263,258.79,3
91034109,93795633,96.59,3
95439991,98549858,213.09,3
97358622,99892926,211.59,3
94454518,97589750,231.13,3
92658316,99185908,239.45,3
92022230,98694128,19.08,3
98107534,96555765,216.75,3
92703504,93563364,147.53,3
90490442,94447614,248.96,3
91401858,95410665,188.23,3
90753734,96265611,211.21,3
91848200,97157572,293.17,3
96745861,98030415,184.66,3
90802857,93886092,302.86,3
90891154,93507060,40.85,3
98210700,92283353,253.32,3
96611563,93465228,296.09,3
91841923,90687603,142.54,3
95545931,95423529,87.13,3
92460025,99336669,10.95,3
97515765,97010810,239.19,3
97246673,95169060,264.67,3
99564845,90131779,178.89,3
93280633,99800358,151.31,3
90115253,99956098,108.31,3
95467623,91085466,353.25,3
98874030,92013085,270.27,3
99600752,96821448,228.19,3
96672861,93340432,260.15,3
95414152,90483296,128.39,3
92659666,95134584,256.13,3
97559665,94005527,126.71,3
96161206,95357119,176.38,3
97551760,92620745,82.36,3
96459184,93469229,83.69,3
96774820,92721907,53.73,3
94984327,97535071,214.97,3
93739445,94891403,225.23,3
95595224,93326518,334.84,3
91315742,98463957,125.65,3
92793406,98219884,358.6,3
99190435,92843811,8.97,3
94837758,92535431,224.76,3
98626134,99403859,186.35,3
92660356,96368888,359.59,3
93132665,94192501,141.68,3
98310861,99262502,177.9,3
96764441,97581745,357.34,3
90895633,94681283,237.86,3
93059793,97109013,60.98,3
91911881,93288516,358.53,3
96424517,98225769,147.38,3
94997934,98934424,122.94,3
95575254,97615165,261.1,3
91044388,99484107,65.24,3
97979072,99793488,49.3,3
96023651,92539801,147.54,3
95022345,99316538,346.33,3
98538671,93511024,220.02,3
91961207,91306906,258.33,3
95444626,99849271,24.81,3
92427773,91503630,270.5,3
96631028,96868247,39.46,3
